filepath	title
data/unpaired_data/trainB/normal00101.png	doorway leading to kitchen with sink and counter in residential home
data/unpaired_data/trainB/normal00103.png	doorway leading to a kitchen with a sink and a table
data/unpaired_data/trainB/normal00104.png	doorway leading to kitchen with sink and wooden table in foreground
data/unpaired_data/trainB/normal00105.png	there is a sink with a bowl and a bowl of cleaning products
data/unpaired_data/trainB/normal00106.png	there is a sink with a bowl and a bowl of cleaning products
data/unpaired_data/trainB/normal00107.png	there is a sink with a bowl and a bowl of cleaning products
data/unpaired_data/trainB/normal00108.png	there is a sink with a bowl and a bowl of cleaning products
data/unpaired_data/trainB/normal00109.png	there is a small cabinet with a toilet and a trash can
data/unpaired_data/trainB/normal00111.png	there is a cup with a toothbrush and a pair of scissors on the counter
data/unpaired_data/trainB/normal00113.png	there is a cup with a toothbrush and a pair of scissors on the counter
data/unpaired_data/trainB/normal00114.png	there is a cup with a toothbrush and a pair of scissors on the counter
data/unpaired_data/trainB/normal00115.png	there is a telephone on a desk with a remote control
data/unpaired_data/trainB/normal00117.png	there is a refrigerator with a lot of food inside of it
data/unpaired_data/trainB/normal00118.png	there is a refrigerator with a lot of food inside of it
data/unpaired_data/trainB/normal00120.png	there is a refrigerator with a lot of food in it
data/unpaired_data/trainB/normal00125.png	there is a refrigerator with a lot of food inside of it
data/unpaired_data/trainB/normal00126.png	there is a refrigerator with a lot of food inside of it
data/unpaired_data/trainB/normal00127.png	there is a plastic container with rice in it that is inside of a refrigerator
data/unpaired_data/trainB/normal00128.png	there is a plastic container with a bag of rice inside of it
data/unpaired_data/trainB/normal00129.png	there is a plastic container with rice in it that is inside of a refrigerator
data/unpaired_data/trainB/normal00130.png	there is a plastic container with rice in it that is inside of a refrigerator
data/unpaired_data/trainB/normal00131.png	there are two wooden tables with a bag on top of them
data/unpaired_data/trainB/normal00133.png	there are two wooden tables with a bag on top of them
data/unpaired_data/trainB/normal00135.png	there are two wooden tables with a bag on top of them
data/unpaired_data/trainB/normal00136.png	there are two wooden tables with a bag on top of them
data/unpaired_data/trainB/normal00137.png	there is a tissue box and tissue on a table
data/unpaired_data/trainB/normal00138.png	there is a tissue box and tissue on a table
data/unpaired_data/trainB/normal00140.png	there is a chair with a hat on it and a red ribbon
data/unpaired_data/trainB/normal00142.png	there is a blue light shining on the ceiling above the sink
data/unpaired_data/trainB/normal00143.png	there is a closet with a rack of clothes and a chair
data/unpaired_data/trainB/normal00144.png	there is a closet with a rack of clothes and a chair
data/unpaired_data/trainB/normal00145.png	there is a closet with clothes and a suitcase in it
data/unpaired_data/trainB/normal00146.png	there is a closet with a rack of clothes and a suitcase
data/unpaired_data/trainB/normal00147.png	there is a backpack and a pair of shoes in a closet
data/unpaired_data/trainB/normal00148.png	there is a backpack and a pair of shoes in a closet
data/unpaired_data/trainB/normal00149.png	there is a backpack and a pair of shoes in a closet
data/unpaired_data/trainB/normal00150.png	there is a backpack and a pair of shoes in a closet
data/unpaired_data/trainB/normal00201.png	there is a white dresser with a basket on top of it
data/unpaired_data/trainB/normal00202.png	there is a picture of a vase and a picture on a shelf
data/unpaired_data/trainB/normal00204.png	boxes and a basketball are stacked on top of each other
data/unpaired_data/trainB/normal00205.png	boxes and a basketball are stacked on top of each other
data/unpaired_data/trainB/normal00207.png	arafed bed with a pink comforter and pillows on top of it
data/unpaired_data/trainB/normal00208.png	arafed bed with a pink comforter and pillows on top of it
data/unpaired_data/trainB/normal00209.png	arafed bed with a pink comforter and pillows on top of it
data/unpaired_data/trainB/normal00210.png	there is a mirror and a plastic box on a dresser
data/unpaired_data/trainB/normal00211.png	there is a mirror and a plastic box on a dresser
data/unpaired_data/trainB/normal00213.png	there is a small stool sitting next to a small table
data/unpaired_data/trainB/normal00214.png	there is a small stool in the corner of a bedroom
data/unpaired_data/trainB/normal00216.png	there is a flat screen tv mounted on the wall with a cord
data/unpaired_data/trainB/normal00217.png	there is a flat screen tv mounted on the wall with a cord
data/unpaired_data/trainB/normal00218.png	there is a flat screen tv mounted on the wall with a cord
data/unpaired_data/trainB/normal00219.png	there is a shower head and a toilet in a bathroom
data/unpaired_data/trainB/normal00220.png	there is a shower head and a toilet in a bathroom
data/unpaired_data/trainB/normal00223.png	there is a towel rack with a towel hanging on it
data/unpaired_data/trainB/normal00226.png	there is a toilet with a lid up in a bathroom
data/unpaired_data/trainB/normal00227.png	there is a bird sitting on a window sill looking out
data/unpaired_data/trainB/normal00229.png	there is a bird sitting on a window sill looking out
data/unpaired_data/trainB/normal00230.png	there are two fans that are sitting on the wall next to a plant
data/unpaired_data/trainB/normal00233.png	there is a small orange fire hydrant in a garden
data/unpaired_data/trainB/normal00236.png	there is a clock on the wall in the kitchen of this house
data/unpaired_data/trainB/normal00237.png	there is a clock on the wall in the kitchen of this house
data/unpaired_data/trainB/normal00240.png	there is a cat that is sitting on the floor in the house
data/unpaired_data/trainB/normal00241.png	there is a refrigerator and a table in a room
data/unpaired_data/trainB/normal00243.png	there is a refrigerator and a table in a room
data/unpaired_data/trainB/normal00244.png	there is a woman laying on a bed with a bag on it
data/unpaired_data/trainB/normal00245.png	there is a woman laying on a bed with a bag on it
data/unpaired_data/trainB/normal00247.png	there is a woman laying on a bed with a bag on it
data/unpaired_data/trainB/normal00248.png	there is a small statue of a clown on a shelf next to a refrigerator
data/unpaired_data/trainB/normal00249.png	there is a small statue of a clown on a shelf next to a refrigerator
data/unpaired_data/trainB/normal00268.png	arafly stuffed toy sitting on a desk next to a book and a basket of yarn
data/unpaired_data/trainB/normal00270.png	arafly stuffed toy sitting on a desk next to a book and a basket of yarn
data/unpaired_data/trainB/normal00272.png	araffe and a blue stuffed animal sitting on a table
data/unpaired_data/trainB/normal00273.png	araffe and a blue stuffed animal sitting on a table
data/unpaired_data/trainB/normal00275.png	araffe and a blue stuffed animal sitting on a table
data/unpaired_data/trainB/normal00278.png	arafly stuffed toy sitting next to a box of makeup and a bottle of perfume
data/unpaired_data/trainB/normal00280.png	there is a stuffed animal and a book on a desk
data/unpaired_data/trainB/normal00282.png	there is a stuffed animal and a book on a desk
data/unpaired_data/trainB/normal00285.png	araffe in a room with a color palette and a picture frame
data/unpaired_data/trainB/normal00287.png	araffe in a room with a color palette and a picture frame
data/unpaired_data/trainB/normal00289.png	araffe sitting on a shelf next to a book and a color palette
data/unpaired_data/trainB/normal00290.png	araffe sitting on a shelf next to a book and a color palette
data/unpaired_data/trainB/normal00292.png	there are two stuffed animals sitting on a shelf next to a color palette
data/unpaired_data/trainB/normal00295.png	there are two stuffed animals sitting on a shelf next to a book
data/unpaired_data/trainB/normal00297.png	there is a stuffed animal and a plate of fruit on a table
data/unpaired_data/trainB/normal00299.png	there is a stuffed animal and a plate of fruit on a table
data/unpaired_data/trainB/normal00301.png	there is a stuffed animal and a plate of fruit on a table
data/unpaired_data/trainB/normal00302.png	there is a stuffed animal and a plate of fruit on a table
data/unpaired_data/trainB/normal00303.png	there is a stuffed animal and a plate of fruit on a table
data/unpaired_data/trainB/normal00304.png	there is a stuffed animal and a stuffed toy on a table
data/unpaired_data/trainB/normal00305.png	there is a stuffed animal and a stuffed toy on a table
data/unpaired_data/trainB/normal00306.png	there is a stuffed animal and a stuffed toy on a table
data/unpaired_data/trainB/normal00307.png	there is a stuffed animal and a stuffed toy on a table
data/unpaired_data/trainB/normal00308.png	there are two stuffed animals sitting on a shelf next to a book
data/unpaired_data/trainB/normal00309.png	there are two stuffed animals sitting on a shelf next to a book
data/unpaired_data/trainB/normal00310.png	there are two stuffed animals sitting on a shelf next to a book
data/unpaired_data/trainB/normal00311.png	there are two stuffed animals sitting on a shelf next to a book
data/unpaired_data/trainB/normal00316.png	there is a stuffed animal and a stuffed banana on a table
data/unpaired_data/trainB/normal00317.png	there is a stuffed animal and a stuffed animal on a table
data/unpaired_data/trainB/normal00318.png	there is a stuffed animal and a stuffed banana on a table
data/unpaired_data/trainB/normal00319.png	there is a stuffed animal and a stuffed animal on a table
data/unpaired_data/trainB/normal00320.png	araffe and a stuffed animal are sitting on a table
data/unpaired_data/trainB/normal00321.png	araffe and a stuffed animal are sitting on a table
data/unpaired_data/trainB/normal00322.png	araffe and a stuffed animal are sitting on a table
data/unpaired_data/trainB/normal00323.png	araffe and a stuffed animal are sitting on a table
